"site_id","latitude","longitude","postcode"
"   261",56.07602,-2.63947,"EH"
"   262",55.92126,-2.65051,"EH"
"   263",55.96038,-2.74989,"EH"
"   264",56.00451,-2.52681,"EH"
"   265",55.58127,-2.56002,"TD"
"   266",55.73025,-2.7628,"TD"
"   267",55.73748,-2.66086,"TD"
"   268",55.7086,-2.3833,"TD"
"   269",55.72834,-2.40925,"TD"
"   270",55.82257,-2.44535,"TD"
"   271",55.7007,-2.33735,"TD"
"   272",55.91675,-2.13761,"TD"
"   273",55.55219,-3.39033,"ML"
"   274",55.70254,-3.36701,"EH"
"   275",55.75391,-3.35447,"EH"
"   276",55.64233,-3.19489,"EH"
"   277",55.7114,-3.20814,"EH"
"   278",55.64647,-3.1378,"EH"
"   279",55.54092,-2.90458,"TD"
"   280",55.60618,-2.90327,"TD"
"   281",55.62076,-2.82676,"TD"
"   282",55.37951,-2.65186,"TD"
"   283",55.39569,-2.65213,"TD"
"   284",55.56652,-2.63593,"TD"
"   285",55.3583,-2.51741,"TD"
"   286",55.60278,-2.46699,"TD"
"   287",55.6043,-2.41907,"TD"
"   288",55.47536,-2.24524,"TD"
"   289",55.23434,-2.579,"NE"
"   290",55.07506,-2.39159,"NE"
"   291",55.07795,-2.32582,"NE"
"   292",55.21372,-2.30178,"NE"
"   293",55.25336,-2.26118,"NE"
"   295",54.82467,-2.2584,"NE"
"   296",54.97568,-2.25156,"NE"
"   297",54.98043,-2.01875,"NE"
"   298",55.5753,-2.11579,"NE"
"   299",55.64361,-2.10169,"TD"
"   300",55.15421,-1.94306,"NE"
"   301",55.71014,-1.95703,"TD"
"   302",55.76856,-1.99681,"TD"
"   303",55.75418,-2.03187,"TD"
"   304",55.30111,-1.80467,"NE"
"   305",55.77575,-2.00319,"TD"
"   306",55.08895,-1.76497,"NE"
"   307",54.97707,-1.59687,"NE"
"   309",55.20065,-1.54119,"NE"
"   310",55.21289,-1.68615,"NE"
"   311",55.29985,-1.64558,"NE"
"   312",55.01917,-1.55734,"NE"
"   313",55.01767,-1.41502,"NE"
"   314",55.1331,-1.50431,"NE"
"   315",55.42083,-1.59966,"NE"
"   316",55.58295,-1.65255,"NE"
"   317",54.82102,-1.7136,"DH"
"   318",54.74082,-2.13168,"DL"
"   319",54.82132,-2.08872,"DH"
"   320",54.89849,-1.80662,"NE"
"   321",54.91643,-1.78782,"NE"
"   322",54.6548,-1.73803,"DL"
"   323",54.78672,-1.65941,"DH"
"   324",54.76483,-1.56012,"DH"
"   325",54.75858,-1.56951,"DH"
"   326",54.76786,-1.58455,"DH"
"   327",54.93747,-1.58165,"NE"
"   328",54.51258,-1.41917,"DL"
"   329",54.89487,-1.48853,"NE"
"   330",55.0033,-1.41679,"NE"
"   331",54.55997,-1.37055,"TS"
"   332",54.90342,-1.39328,"SR"
"   333",54.94649,-1.37858,"SR"
"   334",54.64154,-1.18333,"TS"
"   335",54.64033,-1.13842,"TS"
"   336",54.68664,-1.20725,"TS"
"   337",54.27523,-2.26166,"DL"
"   338",54.30709,-2.19367,"DL"
"   339",54.30811,-2.09973,"DL"
"   340",54.50857,-2.04943,"DL"
"   341",54.52102,-1.81614,"DL"
"   342",54.1346,-1.41293,"YO"
"   344",54.22278,-1.34655,"YO"
"   346",54.04502,-1.24956,"YO"
"   347",54.4278,-1.21591,"TS"
"   348",54.5302,-1.19947,"TS"
"   349",53.95285,-1.03835,"YO"
"   350",53.96223,-1.08844,"YO"
"   351",54.20219,-1.08316,"YO"
"   352",54.64661,-1.13673,"TS"
"   353",54.61558,-1.07235,"TS"
"   354",54.19781,-0.79044,"YO"
"   356",54.24714,-0.77979,"YO"
"   357",54.28075,-0.5668,"YO"
"   358",54.35857,-0.66999,"YO"
"   359",54.48073,-0.62411,"YO"
"   360",54.27261,-0.42099,"YO"
"   361",54.2804,-0.39629,"YO"
"   362",54.27977,-0.41629,"YO"
"   363",54.33782,-0.5279,"YO"
"   364",54.48974,-0.60428,"YO"
"   365",53.84635,-0.88573,"YO"
"   366",54.11714,-0.05371,"YO"
"   367",54.1048,-0.64149,"YO"
"   368",53.99458,-0.46833,"YO"
"   369",53.75603,-0.35642,"HU"
"   370",53.87437,-0.44009,"HU"
"   372",54.20438,-0.29343,"YO"
"   373",54.09377,-0.17413,"YO"
"   374",54.10002,-0.20665,"YO"
"   375",54.09505,-0.19393,"YO"
"   376",53.622,0.14272,"HU"
"   377",53.57487,0.11314,"HU"
"   378",53.65842,0.11732,"HU"
"   379",53.84369,-0.10139,"HU"
"   380",53.4092,-0.7693,"DN"
"   381",53.3066,-0.54649,"LN"
"   382",53.63664,-0.65777,"DN"
"   383",53.10733,-0.54785,"LN"
"   384",53.17509,-0.52173,"LN"
"   385",53.23513,-0.55852,"LN"
"   386",53.03088,-0.50194,"NG"
"   387",53.5615,-0.48704,"DN"
"   388",52.75452,-0.31657,"PE"
"   389",53.5024,-0.36851,"LN"
"   390",53.09516,0.32304,"PE"
"   391",53.4248,-0.28418,"LN"
"   392",52.93643,-0.06646,"PE"
"   393",53.09352,-0.17119,"LN"
"   394",53.44514,-0.20053,"LN"
"   395",52.8729,0.14021,"PE"
"   396",53.24909,0.07906,"LN"
"   397",53.44946,0.03461,"LN"
"   398",53.55192,-0.01634,"DN"
"   399",53.54942,-0.02853,"DN"
"   400",52.75964,0.195,"PE"
"   401",53.36109,0.09867,"LN"
"   402",53.50285,0.06733,"DN"
"   403",53.14757,0.34797,"PE"
"   404",53.22186,-0.50353,"LN"
"   405",53.47455,0.1546,"LN"
"   406",52.745,0.29021,"PE"
"   407",52.58261,0.34773,"PE"
"   408",52.6252,1.29966,"NR"
